[2026-06-18 20:53:59] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:59] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:00] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=57, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=87, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=35, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=72, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:00] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:00] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:00] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=147, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:01] Scout (ATT WINS): att=33, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:01] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:01] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:03] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:03] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:03] Scout (ATT WINS): att=17, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:03] Scout (ATT WINS): att=76, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:03] Scout (ATT WINS): att=33, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:03] Scout (ATT WINS): att=25, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:03] Scout (ATT WINS): att=80, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:03] Scout (ATT WINS): att=25, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:03] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:03] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:04] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:04] Scout (ATT WINS): att=51, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:04] Scout (ATT WINS): att=19, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:04] Scout (ATT WINS): att=52, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:04] Scout (ATT WINS): att=25, def=0, losses=0, spy_level=4, only_spies=false
